code	data
石狩	石狩森林管理署
空知	空知森林管理署
北空知支	空知森林管理署北空知支署
胆振東部	胆振東部森林管理署
日高北部	日高北部森林管理署
日高南部	日高南部森林管理署
留萌北部	留萌北部森林管理署
留萌南部	留萌南部森林管理署
上川北部	上川北部森林管理署
宗谷	宗谷森林管理署
上川中部	上川中部森林管理署
上川南部	上川南部森林管理署
網走西部	網走西部森林管理署
西紋別支	網走西部森林管理署西紋別支署
網走中部	網走中部森林管理署
網走南部	網走南部森林管理署
根釧西部	根釧西部森林管理署
根釧東部	根釧東部森林管理署
十勝東部	十勝東部森林管理署
十勝西部	十勝西部森林管理署
東大雪支	十勝西部森林管理署東大雪支署
後志	後志森林管理署
檜山	檜山森林管理署
渡島	渡島森林管理署
津軽	津軽森林管理署
金木支	津軽森林管理署金木支署
青森	青森森林管理署
下北	下北森林管理署
三八上北	三八上北森林管理署
岩手北部	岩手北部森林管理署
三陸北部	三陸北部森林管理署
久慈支	三陸北部森林管理署久慈支署
三陸中部	三陸中部森林管理署
盛岡	盛岡森林管理署
岩手南部	岩手南部森林管理署
遠野支	岩手南部森林管理署遠野支署
宮城北部	宮城北部森林管理署
仙台	仙台森林管理署
米代東部	米代東部森林管理署
上小阿仁支	米代東部森林管理署上小阿仁支署
米代西部	米代西部森林管理署
秋田	秋田森林管理署
湯沢支	秋田森林管理署湯沢支署
由利	由利森林管理署
庄内	庄内森林管理署
山形	山形森林管理署
最上支	山形森林管理署最上支署
置賜	置賜森林管理署
磐城	磐城森林管理署
福島	福島森林管理署
白河支	福島森林管理署白河支署
棚倉	棚倉森林管理署
会津	会津森林管理署
南会津支	会津森林管理署南会津支署
塩那	塩那森林管理署
日光	日光森林管理署
群馬	群馬森林管理署
利根沼田	利根沼田森林管理署
吾妻	吾妻森林管理署
下越	下越森林管理署
村上支	下越森林管理署村上支署
中越	中越森林管理署
上越	上越森林管理署
茨城	茨城森林管理署
東京神奈川	東京神奈川森林管理署
伊豆	伊豆森林管理署
静岡	静岡森林管理署
天竜	天竜森林管理署
埼玉事	埼玉森林管理事務所
千葉事	千葉森林管理事務所
山梨事	山梨森林管理事務所
小笠原	小笠原総合事務所
富山	富山森林管理署
北信	北信森林管理署
東信	東信森林管理署
中信	中信森林管理署
南信	南信森林管理署
木曽	木曽森林管理署
南木曽支	木曽森林管理署南木曽支署
飛騨	飛騨森林管理署
岐阜	岐阜森林管理署
東濃	東濃森林管理署
愛知事	愛知森林管理事務所
石川	石川森林管理署
福井	福井森林管理署
三重	三重森林管理署
滋賀	滋賀森林管理署
兵庫	兵庫森林管理署
和歌山	和歌山森林管理署
鳥取	鳥取森林管理署
島根	島根森林管理署
岡山	岡山森林管理署
広島北部	広島北部森林管理署
広島	広島森林管理署
京都大阪事	京都大阪森林管理事務所
奈良事	奈良森林管理事務所
山口事	山口森林管理事務所
徳島	徳島森林管理署
愛媛	愛媛森林管理署
四万十	四万十森林管理署
嶺北	嶺北森林管理署
高知中部	高知中部森林管理署
安芸	安芸森林管理署
香川事	香川森林管理事務所
福岡	福岡森林管理署
佐賀	佐賀森林管理署
長崎	長崎森林管理署
熊本	熊本森林管理署
熊本南部	熊本南部森林管理署
大分西部	大分酉部森林管理署
大分	大分森林管理署
宮崎北部	宮崎北部森林管理署
西都児湯	西都児湯森林管理署
宮崎	宮崎森林管理署
都城支	宮崎森林管理署都城支署
宮崎南部	宮崎南部森林管理署
北薩	北薩森林管理署
鹿児島	鹿児島森林管理署
大隅	大隅森林管理署
屋久島	屋久島森林管理署
沖縄	沖縄森林管理署
